scale ('monthly')	Group 1	Group 2	Group 3	Group 4	group5	Group 6	Group 7	Group 8	Group 9	Group 10
2011-06-03 06:01:02.360336+00:00	0	0	0	0	0	0	0	0	0	0
2011-07-04 06:01:02.360336+00:00	0	0	65	0	0	0	0	0	0	3
2011-08-04 06:01:02.360336+00:00	0	0	125	0	0	0	0	1	0	0
2011-09-04 06:01:02.360336+00:00	0	0	0	0	0	0	0	0	0	16
2011-10-05 06:01:02.360336+00:00	0	4	37	932	0	0	0	0	0	4
2011-11-05 06:01:02.360336+00:00	0	0	40	748	0	0	0	0	0	1711
2011-12-06 06:01:02.360336+00:00	0	236	134	0	0	0	0	0	0	1252
2012-01-06 06:01:02.360336+00:00	0	198	487	69	0	0	0	0	0	165
2012-02-06 06:01:02.360336+00:00	0	0	0	55	0	0	0	0	0	601
2012-03-08 06:01:02.360336+00:00	0	0	0	0	0	0	0	0	0	200
2012-04-08 06:01:02.360336+00:00	0	0	50	14	0	0	0	0	0	40
2012-05-09 06:01:02.360336+00:00	0	0	52	0	0	0	0	0	0	22
2012-06-09 06:01:02.360336+00:00	0	0	0	0	81	0	0	65	0	243
2012-07-10 06:01:02.360336+00:00	0	0	2	0	19	0	0	36	0	93
2012-08-10 06:01:02.360336+00:00	0	0	0	0	0	0	0	224	0	53
2012-09-10 06:01:02.360336+00:00	0	0	176	0	0	0	0	0	0	151
2012-10-11 06:01:02.360336+00:00	0	0	0	0	0	61	0	15	0	97
2012-11-11 06:01:02.360336+00:00	0	207	354	0	323	59	0	174	0	30
2012-12-12 06:01:02.360336+00:00	0	217	197	0	501	227	0	205	0	39
2013-01-12 06:01:02.360336+00:00	0	24	232	0	354	561	0	170	0	107
2013-02-12 06:01:02.360336+00:00	0	45	1047	0	355	1168	0	107	0	468
2013-03-15 06:01:02.360336+00:00	0	4	629	102	693	386	0	266	0	835
2013-04-15 06:01:02.360336+00:00	0	42	564	63	264	0	0	61	0	34
2013-05-16 06:01:02.360336+00:00	0	226	472	0	711	0	0	0	0	47
2013-06-16 06:01:02.360336+00:00	0	82	28	111	798	91	0	21	0	27
2013-07-17 06:01:02.360336+00:00	0	149	42	0	2610	106	0	0	0	65
2013-08-17 06:01:02.360336+00:00	0	111	0	0	513	0	168	169	0	9
2013-09-17 06:01:02.360336+00:00	0	186	231	0	307	11	126	7	0	0
2013-10-18 06:01:02.360336+00:00	0	40	3	0	74	0	376	55	0	10
2013-11-18 06:01:02.360336+00:00	0	224	0	0	1455	303	1642	475	0	108
2013-12-19 06:01:02.360336+00:00	0	118	0	0	1409	0	2117	5	0	4
2014-01-19 06:01:02.360336+00:00	4594	11	13	0	865	0	661	293	0	224
2014-02-19 06:01:02.360336+00:00	29809	290	51	0	725	87	217	1482	0	484
2014-03-22 06:01:02.360336+00:00	12366	703	132	30	1421	76	2043	943	0	93
2014-04-22 06:01:02.360336+00:00	6662	217	0	91	263	46	207	236	0	45
2014-05-23 06:01:02.360336+00:00	7534	1599	104	110	652	0	75	358	0	0
2014-06-23 06:01:02.360336+00:00	6019	224	84	618	905	33	771	237	0	0
2014-07-24 06:01:02.360336+00:00	3655	1185	883	227	461	0	740	506	0	0
2014-08-24 06:01:02.360336+00:00	3339	2572	310	223	991	11	330	303	0	0
2014-09-24 06:01:02.360336+00:00	2297	219	68	14	93	0	968	112	0	0
2014-10-25 06:01:02.360336+00:00	1183	1589	113	1553	322	0	747	179	0	0
2014-11-25 06:01:02.360336+00:00	2709	1798	42	929	105	0	483	176	0	0
2014-12-26 06:01:02.360336+00:00	3136	2136	0	1028	741	12	328	549	213	0
2015-01-26 06:01:02.360336+00:00	2160	2398	188	1115	123	0	108	64	102	0
2015-02-26 06:01:02.360336+00:00	700	3099	237	1357	0	88	874	280	108	0
2015-03-29 06:01:02.360336+00:00	641	2209	695	298	0	0	0	64	20	0
2015-04-29 06:01:02.360336+00:00	720	2773	3236	323	0	23	395	240	587	0
2015-05-30 06:01:02.360336+00:00	1043	3689	901	716	70	0	36	199	764	0
2015-06-30 06:01:02.360336+00:00	462	2701	4425	242	171	19	0	95	455	0
2015-07-31 06:01:02.360336+00:00	613	2126	7871	225	299	0	0	4	726	0
2015-08-31 06:01:02.360336+00:00	1806	3456	6306	2650	14	0	0	531	718	0
2015-10-01 06:01:02.360336+00:00	727	1249	2781	1157	8	0	174	641	1508	0
2015-11-01 06:01:02.360336+00:00	1987	438	735	5439	63	868	9	0	1077	0
2015-12-02 06:01:02.360336+00:00	1261	942	610	5370	0	2775	19	84	568	0
2016-01-02 06:01:02.360336+00:00	1167	2086	606	3142	4	7386	343	11	507	0
